"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Get cost center count","FinanceAllAPI","2026-06-05","broken","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","costCenterCount"
"","0","Create company using unauthorized user tokens - expect 403","FinanceAllAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","createCompanyWithUnauthorizedUser"
"","4","Get credit memo / invoice-adjustment count","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","creditMemoCount"
"","0","Verify amount <= 10k does not require L1/L2/L3 approvers","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","verifyNoApprovalRequiredWhenAmountBelow10k"
"","0","Search chart of accounts master","FinanceAllAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","searchChartOfAccountsMaster"
"","0","Level-2 approval by Finance Controller (Abinaya) - required for amount > 10k (up to 1L)","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","approveCreditMemoByFinanceController"
"","0","Search credit memos / invoice adjustments","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","creditMemoSearch"
"","0","Create Credit Memo (Senior Accountant - Khushbu)","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","createCreditMemo"
"","0","Find an eligible (POSTED/PAID) AP invoice and capture id / glAccount / costCenter","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","searchEligibleApInvoice"
"","1","Approval workflow L1+L3: amount 150k (>1L) - GAM then SGAM (FC not in 10k-1L band)","FinanceCreditMemoAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceCreditMemoAPI","FinanceCreditMemoAPI-Test","financeSuite.FinanceCreditMemoAPI","approvalWorkflow_L1_and_L3_forAmount150k"
"","0","Create journal entry using unauthorized user tokens - expect 403","FinanceAllAPI","2026-06-05","skipped","2026-06-05","financeSuite.FinanceAllAPI","FinanceAllAPI-Test","financeSuite.FinanceAllAPI","createJournalEntryWithUnauthorizedUser"
